GeneModel	Coverage	Integrity
PdomMRNAr1.2-09282.1	1	0.95
PdomMRNAr1.2-09283.1	1	0.98
PdomMRNAr1.2-09284.1	0	NULL
PdomMRNAr1.2-09285.1	1	0.75
PdomMRNAr1.2-09286.1	0.95	0.49
PdomMRNAr1.2-09287.1	1	0.8
PdomMRNAr1.2-09288.1	0.93	0.28
PdomMRNAr1.2-09289.1	1	0.95
PdomMRNAr1.2-09290.1	1	1
PdomMRNAr1.2-09291.1	0.98	0.49
PdomMRNAr1.2-09292.1	0.97	0.94
PdomMRNAr1.2-09293.1	0	NULL
PdomMRNAr1.2-09294.1	1	0.35
PdomMRNAr1.2-09295.1	0.86	0.71
PdomMRNAr1.2-09296.1	0	NULL
PdomMRNAr1.2-09297.1	1	0.9
PdomMRNAr1.2-09298.1	1	0.83
PdomMRNAr1.2-09299.1	0.99	0.89
PdomMRNAr1.2-09300.1	1	1
PdomMRNAr1.2-09301.1	1	0.93
PdomMRNAr1.2-09302.1	1	1
PdomMRNAr1.2-09303.1	1	0.97
PdomMRNAr1.2-09304.1	1	1
PdomMRNAr1.2-09305.1	1	0.7
PdomMRNAr1.2-09306.1	1	0.66
PdomMRNAr1.2-09307.1	1	0.6
PdomMRNAr1.2-09308.1	1	0.65
PdomMRNAr1.2-09309.1	1	0.95
PdomMRNAr1.2-09310.1	0.41	0.57
PdomMRNAr1.2-09311.1	1	1
PdomMRNAr1.2-09312.1	1	0.96
PdomMRNAr1.2-09314.1	1	0.91
PdomMRNAr1.2-09315.1	1	1
PdomMRNAr1.2-09317.1	1	1
PdomMRNAr1.2-09318.1	0.99	0.3
PdomMRNAr1.2-09319.1	0	NULL
PdomMRNAr1.2-09320.1	1	0.95
PdomMRNAr1.2-09321.1	1	0.75
PdomMRNAr1.2-09322.1	0.82	0.25
PdomMRNAr1.2-09323.1	1	0.96
PdomMRNAr1.2-09324.1	1	0.99
PdomMRNAr1.2-09325.1	0.06	0.02
PdomMRNAr1.2-09326.1	1	0.92
PdomMRNAr1.2-09327.1	1	0.95
PdomMRNAr1.2-09328.1	0	0
PdomMRNAr1.2-09329.1	0.06	0.02
PdomMRNAr1.2-09330.1	0	NULL
PdomMRNAr1.2-09331.1	1	1
PdomMRNAr1.2-09332.1	1	0.75
PdomMRNAr1.2-09333.1	1	1
PdomMRNAr1.2-09334.1	1	0.97
PdomMRNAr1.2-09335.1	1	1
PdomMRNAr1.2-09336.1	0	0
PdomMRNAr1.2-09337.1	1	0.9
PdomMRNAr1.2-09338.1	0.99	0.35
PdomMRNAr1.2-09339.1	0.23	0.07
PdomMRNAr1.2-09340.1	0.74	0.57
PdomMRNAr1.2-09341.1	0.73	0.22
PdomMRNAr1.2-09343.1	0.87	0.71
PdomMRNAr1.2-09344.1	0.52	0.16
PdomMRNAr1.2-09345.1	0	NULL
PdomMRNAr1.2-09346.1	0.99	0.88
PdomMRNAr1.2-09347.1	0.28	0.08
PdomMRNAr1.2-09348.1	1	1
PdomMRNAr1.2-09349.1	0.8	0.54
PdomMRNAr1.2-09350.1	1	0.99
PdomMRNAr1.2-09351.1	1	1
PdomMRNAr1.2-09352.1	1	1
PdomMRNAr1.2-09353.1	0.69	0.69
PdomMRNAr1.2-09354.1	0.96	0.76
PdomMRNAr1.2-09355.1	1	1
PdomMRNAr1.2-09356.1	1	0.3
PdomMRNAr1.2-09357.1	0.73	0.22
PdomMRNAr1.2-09358.1	1	0.98
PdomMRNAr1.2-09359.1	1	0.95
PdomMRNAr1.2-09360.1	1	0.8
PdomMRNAr1.2-09361.1	1	0.35
PdomMRNAr1.2-09362.1	0.98	0.3
PdomMRNAr1.2-09363.1	0.04	0.01
PdomMRNAr1.2-09364.1	1	1
PdomMRNAr1.2-09365.1	1	0.9
PdomMRNAr1.2-09366.1	1	0.9
PdomMRNAr1.2-09367.1	1	0.8
PdomMRNAr1.2-09368.1	1	0.98
PdomMRNAr1.2-09369.1	0.95	0.78
PdomMRNAr1.2-09370.1	1	1
PdomMRNAr1.2-09371.1	0.98	0.74
PdomMRNAr1.2-09372.1	0	NULL
PdomMRNAr1.2-09373.1	1	0.47
PdomMRNAr1.2-09374.1	0.56	0.17
PdomMRNAr1.2-09375.1	0.04	0.01
PdomMRNAr1.2-09376.1	1	0.8
PdomMRNAr1.2-09377.1	1	1
PdomMRNAr1.2-09378.1	1	0.94
PdomMRNAr1.2-09379.1	1	0.95
PdomMRNAr1.2-09380.1	1	1
PdomMRNAr1.2-09381.1	1	0.95
PdomMRNAr1.2-09382.1	1	0.9
PdomMRNAr1.2-09383.1	0.78	0.62
PdomMRNAr1.2-09384.1	1	0.89
PdomMRNAr1.2-09385.1	1	0.98
PdomMRNAr1.2-09386.1	0.97	0.81
PdomMRNAr1.2-09387.1	0.3	0.09
PdomMRNAr1.2-09388.1	1	0.95
PdomMRNAr1.2-09389.1	0.13	0.04
PdomMRNAr1.2-09390.1	0.76	0.23
PdomMRNAr1.2-09391.1	1	1
PdomMRNAr1.2-09392.1	1	0.5
PdomMRNAr1.2-09393.1	1	0.9
PdomMRNAr1.2-09394.1	0	NULL
PdomMRNAr1.2-09395.1	1	1
PdomMRNAr1.2-09396.1	1	0.95
PdomMRNAr1.2-09397.1	1	0.65
PdomMRNAr1.2-09398.1	1	0.95
PdomMRNAr1.2-09399.1	1	0.98
PdomMRNAr1.2-09400.1	0.12	0.04
PdomMRNAr1.2-09401.1	0.03	0.01
PdomMRNAr1.2-09402.1	1	0.96
PdomMRNAr1.2-09403.1	1	1
PdomMRNAr1.2-09404.1	0.96	0.59
PdomMRNAr1.2-09405.1	1	0.3
PdomMRNAr1.2-09406.1	1	1
PdomMRNAr1.2-09407.1	1	0.97
PdomMRNAr1.2-09408.1	1	0.33
PdomMRNAr1.2-09409.1	0.92	0.33
PdomMRNAr1.2-09410.1	1	0.95
PdomMRNAr1.2-09411.1	0.95	0.95
PdomMRNAr1.2-09412.1	1	0.99
PdomMRNAr1.2-09413.1	0.3	0.09
PdomMRNAr1.2-09414.1	0	0
PdomMRNAr1.2-09415.1	1	1
PdomMRNAr1.2-09416.1	0.7	0.21
PdomMRNAr1.2-09417.1	0.97	0.69
PdomMRNAr1.2-09418.1	1	0.5
PdomMRNAr1.2-09419.1	0.89	0.62
PdomMRNAr1.2-09420.1	1	0.76
PdomMRNAr1.2-09421.1	0	0
PdomMRNAr1.2-09422.1	1	0.73
PdomMRNAr1.2-09423.1	0.99	0.74
PdomMRNAr1.2-09424.1	1	1
PdomMRNAr1.2-09425.1	0	NULL
PdomMRNAr1.2-09426.1	1	1
PdomMRNAr1.2-09427.1	1	0.7
PdomMRNAr1.2-09428.1	1	0.9
PdomMRNAr1.2-09429.1	1	0.35
PdomMRNAr1.2-09430.1	1	0.9
PdomMRNAr1.2-09431.1	1	0.83
PdomMRNAr1.2-09432.1	1	0.75
PdomMRNAr1.2-09433.1	0.99	0.6
PdomMRNAr1.2-09434.1	1	1
PdomMRNAr1.2-09435.1	1	0.9
PdomMRNAr1.2-09436.1	1	0.95
PdomMRNAr1.2-09437.1	0.97	0.78
PdomMRNAr1.2-09438.1	0.99	0.5
PdomMRNAr1.2-09439.1	0.98	0.46
PdomMRNAr1.2-09440.1	0.91	0.63
PdomMRNAr1.2-09441.1	0.94	0.68
PdomMRNAr1.2-09442.1	1	1
PdomMRNAr1.2-09443.1	1	1
PdomMRNAr1.2-09444.1	0.96	0.34
PdomMRNAr1.2-09445.1	1	1
PdomMRNAr1.2-09446.1	0	NULL
PdomMRNAr1.2-09447.1	0	0
PdomMRNAr1.2-09448.1	1	0.85
PdomMRNAr1.2-09449.1	1	0.85
PdomMRNAr1.2-09450.1	1	0.96
PdomMRNAr1.2-09451.1	1	0.61
PdomMRNAr1.2-09452.1	0.95	0.98
PdomMRNAr1.2-09453.1	0.79	0.76
PdomMRNAr1.2-09454.1	1	0.89
PdomMRNAr1.2-09456.1	1	0.88
PdomMRNAr1.2-09457.1	1	0.65
PdomMRNAr1.2-09458.1	0.97	0.42
PdomMRNAr1.2-09459.1	1	1
PdomMRNAr1.2-09460.1	0.99	0.8
PdomMRNAr1.2-09461.1	1	0.88
PdomMRNAr1.2-09462.1	0.42	0.13
PdomMRNAr1.2-09463.1	1	1
PdomMRNAr1.2-09464.1	0.74	0.75
PdomMRNAr1.2-09465.1	1	1
PdomMRNAr1.2-09466.1	1	1
PdomMRNAr1.2-09467.1	0.95	0.72
PdomMRNAr1.2-09468.1	1	0.75
PdomMRNAr1.2-09469.1	0.59	0.48
PdomMRNAr1.2-09470.1	0.01	0
PdomMRNAr1.2-09471.1	1	0.96
PdomMRNAr1.2-09472.1	0.58	0.17
PdomMRNAr1.2-09473.1	0.85	0.55
PdomMRNAr1.2-09474.1	0.17	0.05
PdomMRNAr1.2-09475.1	1	0.92
PdomMRNAr1.2-09476.1	0.99	0.95
PdomMRNAr1.2-09477.1	1	1
PdomMRNAr1.2-09478.1	1	0.95
PdomMRNAr1.2-09479.1	0.98	0.81
PdomMRNAr1.2-09480.1	0.95	0.43
PdomMRNAr1.2-09481.1	0.3	0.09
PdomMRNAr1.2-09482.1	1	0.9
PdomMRNAr1.2-09483.1	1	0.97
PdomMRNAr1.2-09484.1	1	0.97
PdomMRNAr1.2-09485.1	1	0.65
PdomMRNAr1.2-09486.1	1	1
PdomMRNAr1.2-09487.1	1	0.9
PdomMRNAr1.2-09488.1	0.8	0.24
PdomMRNAr1.2-09489.1	0.02	0.01
PdomMRNAr1.2-09490.1	1	0.96
PdomMRNAr1.2-09491.1	1	1
PdomMRNAr1.2-09492.1	0	NULL
PdomMRNAr1.2-09493.1	0.45	0.14
PdomMRNAr1.2-09494.1	0.98	0.95
PdomMRNAr1.2-09495.1	1	0.94
PdomMRNAr1.2-09496.1	1	0.95
PdomMRNAr1.2-09497.1	1	1
PdomMRNAr1.2-09498.1	0	NULL
PdomMRNAr1.2-09499.1	0.94	0.73
PdomMRNAr1.2-09500.1	1	0.98
PdomMRNAr1.2-09501.1	1	1
PdomMRNAr1.2-09502.1	1	0.95
PdomMRNAr1.2-09503.1	0.71	0.83
PdomMRNAr1.2-09504.1	1	0.95
PdomMRNAr1.2-09505.1	1	0.3
PdomMRNAr1.2-09506.1	0.99	0.88
PdomMRNAr1.2-09507.1	0.99	0.55
PdomMRNAr1.2-09508.1	1	0.9
PdomMRNAr1.2-09509.1	1	1
PdomMRNAr1.2-09510.1	1	0.85
PdomMRNAr1.2-09511.1	1	0.55
PdomMRNAr1.2-09512.1	0.88	0.31
PdomMRNAr1.2-09513.1	0.28	0.08
PdomMRNAr1.2-09514.1	0	NULL
PdomMRNAr1.2-09515.1	1	0.97
PdomMRNAr1.2-09516.1	1	0.98
PdomMRNAr1.2-09517.1	0.35	0.1
PdomMRNAr1.2-09518.1	1	0.97
PdomMRNAr1.2-09519.1	0.99	0.6
PdomMRNAr1.2-09521.1	0.53	0.26
PdomMRNAr1.2-09522.1	1	0.45
PdomMRNAr1.2-09523.1	1	0.92
PdomMRNAr1.2-09524.1	0.27	0.08
PdomMRNAr1.2-09525.1	0.68	0.2
PdomMRNAr1.2-09526.1	0.99	0.87
PdomMRNAr1.2-09527.1	0.98	0.29
PdomMRNAr1.2-09528.1	1	0.8
PdomMRNAr1.2-09529.1	0.97	0.49
PdomMRNAr1.2-09530.1	0.97	0.84
PdomMRNAr1.2-09531.1	0.46	0.29
PdomMRNAr1.2-09532.1	1	1
PdomMRNAr1.2-09533.1	0	NULL
PdomMRNAr1.2-09534.1	1	0.89
PdomMRNAr1.2-09535.1	0	0
PdomMRNAr1.2-09536.1	1	0.67
PdomMRNAr1.2-09537.1	1	0.88
PdomMRNAr1.2-09538.1	0.03	0.01
PdomMRNAr1.2-09540.1	0.92	0.78
PdomMRNAr1.2-09541.1	0.16	0.05
PdomMRNAr1.2-09542.1	0	NULL
PdomMRNAr1.2-09543.1	1	0.83
PdomMRNAr1.2-09544.1	1	1
PdomMRNAr1.2-09545.1	1	0.58
PdomMRNAr1.2-09546.1	0.01	0
PdomMRNAr1.2-09547.1	1	0.95
PdomMRNAr1.2-09548.1	1	0.3
PdomMRNAr1.2-09549.1	1	0.98
PdomMRNAr1.2-09550.1	1	0.99
PdomMRNAr1.2-09551.1	1	0.95
PdomMRNAr1.2-09552.1	1	0.83
PdomMRNAr1.2-09553.1	1	0.55
PdomMRNAr1.2-09554.1	0.99	0.95
PdomMRNAr1.2-09555.1	1	0.73
PdomMRNAr1.2-09556.1	0.97	0.74
PdomMRNAr1.2-09557.1	0	NULL
PdomMRNAr1.2-09558.1	1	0.91
PdomMRNAr1.2-09559.1	0.96	0.64
PdomMRNAr1.2-09560.1	1	0.96
PdomMRNAr1.2-09561.1	1	0.96
PdomMRNAr1.2-09562.1	1	0.93
PdomMRNAr1.2-09563.1	1	0.7
PdomMRNAr1.2-09564.1	1	1
PdomMRNAr1.2-09565.1	1	0.92
PdomMRNAr1.2-09566.1	0.99	0.83
PdomMRNAr1.2-09567.1	1	0.88
PdomMRNAr1.2-09568.1	1	0.8
PdomMRNAr1.2-09569.1	0	NULL
PdomMRNAr1.2-09570.1	1	0.3
PdomMRNAr1.2-09571.1	0.63	0.19
PdomMRNAr1.2-09572.1	1	0.98
PdomMRNAr1.2-09573.1	0.03	0.35
PdomMRNAr1.2-09574.1	1	0.95
PdomMRNAr1.2-09575.1	0.99	0.35
PdomMRNAr1.2-09576.1	0.38	0.23
PdomMRNAr1.2-09577.1	0.96	0.34
PdomMRNAr1.2-09578.1	1	0.93
PdomMRNAr1.2-09579.1	1	0.9
PdomMRNAr1.2-09580.1	1	0.9
PdomMRNAr1.2-09581.1	1	0.99
PdomMRNAr1.2-09582.1	0.99	0.75
PdomMRNAr1.2-09583.1	1	1
PdomMRNAr1.2-09584.1	0.41	0.12
PdomMRNAr1.2-09585.1	1	0.9
PdomMRNAr1.2-09586.1	1	0.98
PdomMRNAr1.2-09587.1	1	0.95
PdomMRNAr1.2-09588.1	0.24	0.07
PdomMRNAr1.2-09589.1	1	0.98
PdomMRNAr1.2-09590.1	1	0.95
PdomMRNAr1.2-09591.1	0.21	0.06
PdomMRNAr1.2-09592.1	1	1
PdomMRNAr1.2-09593.1	0.11	0.03
PdomMRNAr1.2-09594.1	0.44	0.13
PdomMRNAr1.2-09595.1	0.44	0.13
PdomMRNAr1.2-09596.1	1	0.95
PdomMRNAr1.2-09597.1	0.73	0.51
PdomMRNAr1.2-09598.1	1	1
PdomMRNAr1.2-09599.1	0.85	0.6
PdomMRNAr1.2-09600.1	0.63	0.43
PdomMRNAr1.2-09601.1	1	0.9
PdomMRNAr1.2-09602.1	0.97	0.39
PdomMRNAr1.2-09603.1	0.99	0.3
PdomMRNAr1.2-09604.1	1	0.67
PdomMRNAr1.2-09605.1	0.98	0.29
PdomMRNAr1.2-09606.1	1	1
PdomMRNAr1.2-09607.1	1	0.9
PdomMRNAr1.2-09608.1	1	0.69
PdomMRNAr1.2-09609.1	1	0.9
PdomMRNAr1.2-09610.1	1	1
PdomMRNAr1.2-09611.1	1	0.3
PdomMRNAr1.2-09612.1	1	0.83
PdomMRNAr1.2-09613.1	0.96	0.82
PdomMRNAr1.2-09614.1	0.54	0.27
PdomMRNAr1.2-09615.1	1	0.94
PdomMRNAr1.2-09616.1	1	0.95
PdomMRNAr1.2-09617.1	0.05	0.02
PdomMRNAr1.2-09618.1	0.77	0.23
PdomMRNAr1.2-09619.1	1	1
PdomMRNAr1.2-09620.1	1	0.62
PdomMRNAr1.2-09621.1	1	0.63
PdomMRNAr1.2-09622.1	1	0.95
PdomMRNAr1.2-09623.1	1	1
PdomMRNAr1.2-09624.1	0.96	0.79
PdomMRNAr1.2-09625.1	1	0.91
PdomMRNAr1.2-09626.1	0.81	0.26
PdomMRNAr1.2-09627.1	1	0.94
PdomMRNAr1.2-09628.1	1	0.89
PdomMRNAr1.2-09629.1	1	1
PdomMRNAr1.2-09630.1	1	0.91
PdomMRNAr1.2-09631.1	1	0.98
PdomMRNAr1.2-09632.1	1	0.95
PdomMRNAr1.2-09633.1	0	NULL
PdomMRNAr1.2-09634.1	1	1
PdomMRNAr1.2-09635.1	0.85	0.86
PdomMRNAr1.2-09636.1	1	0.95
PdomMRNAr1.2-09637.1	1	1
PdomMRNAr1.2-09638.1	1	0.9
PdomMRNAr1.2-09639.1	1	0.95
PdomMRNAr1.2-09640.1	1	0.9
PdomMRNAr1.2-09641.1	1	0.89
PdomMRNAr1.2-09642.1	0.98	0.64
PdomMRNAr1.2-09643.1	1	0.99
PdomMRNAr1.2-09644.1	0.97	0.89
PdomMRNAr1.2-09645.1	0.6	0.18
PdomMRNAr1.2-09646.1	1	0.78
PdomMRNAr1.2-09647.1	1	1
PdomMRNAr1.2-09648.1	0.58	0.47
PdomMRNAr1.2-09649.1	1	1
PdomMRNAr1.2-09650.1	1	0.95
PdomMRNAr1.2-09651.1	0	NULL
PdomMRNAr1.2-09652.1	0.95	0.34
PdomMRNAr1.2-09653.1	1	1
PdomMRNAr1.2-09654.1	1	0.91
PdomMRNAr1.2-09655.1	0.57	0.17
PdomMRNAr1.2-09656.1	1	0.85
PdomMRNAr1.2-09657.1	1	0.64
PdomMRNAr1.2-09658.1	0.96	0.74
PdomMRNAr1.2-09659.1	0.89	0.62
PdomMRNAr1.2-09660.1	1	0.78
PdomMRNAr1.2-09661.1	1	1
PdomMRNAr1.2-09662.1	1	0.3
PdomMRNAr1.2-09663.1	1	0.96
PdomMRNAr1.2-09664.1	1	1
PdomMRNAr1.2-09665.1	0.97	0.44
PdomMRNAr1.2-09666.1	1	1
PdomMRNAr1.2-09667.1	1	0.98
PdomMRNAr1.2-09668.1	1	0.3
PdomMRNAr1.2-09669.1	1	1
PdomMRNAr1.2-09670.1	1	0.85
PdomMRNAr1.2-09671.1	0	NULL
PdomMRNAr1.2-09672.1	1	0.8
PdomMRNAr1.2-09673.1	1	1
PdomMRNAr1.2-09674.1	1	0.3
PdomMRNAr1.2-09675.1	1	0.73
PdomMRNAr1.2-09676.1,PdomMRNAr1.2-09676.2	0.95	0.92
PdomMRNAr1.2-09677.1	1	0.94
PdomMRNAr1.2-09678.1	1	0.9
PdomMRNAr1.2-09679.1	1	0.9
PdomMRNAr1.2-09680.1	0.03	0.01
PdomMRNAr1.2-09681.1	0.99	0.3
PdomMRNAr1.2-09682.1	1	1
PdomMRNAr1.2-09683.1	0.57	0.17
PdomMRNAr1.2-09684.1	1	0.77
PdomMRNAr1.2-09685.1	0	NULL
PdomMRNAr1.2-09686.1	1	0.98
PdomMRNAr1.2-09687.1	0.94	0.7
PdomMRNAr1.2-09688.1	0.61	0.53
PdomMRNAr1.2-09689.1	1	0.68
PdomMRNAr1.2-09690.1	1	1
PdomMRNAr1.2-09691.1	1	0.95
PdomMRNAr1.2-09692.1	1	0.5
PdomMRNAr1.2-09693.1	0.52	0.41
PdomMRNAr1.2-09694.1	1	0.95
PdomMRNAr1.2-09695.1	1	0.98
PdomMRNAr1.2-09696.1	0.14	0.04
PdomMRNAr1.2-09697.1	1	1
PdomMRNAr1.2-09698.1	1	0.65
PdomMRNAr1.2-09699.1	1	0.97
PdomMRNAr1.2-09700.1	1	1
PdomMRNAr1.2-09701.1	0	NULL
PdomMRNAr1.2-09702.1	1	0.98
PdomMRNAr1.2-09703.1	0	NULL
PdomMRNAr1.2-09704.1	0.92	0.58
PdomMRNAr1.2-09705.1	1	1
PdomMRNAr1.2-09706.1	0.87	0.31
PdomMRNAr1.2-09707.1	1	0.9
PdomMRNAr1.2-09708.1	0.42	0.13
PdomMRNAr1.2-09709.1	1	0.6
PdomMRNAr1.2-09710.1	1	0.3
PdomMRNAr1.2-09711.1	1	0.9
PdomMRNAr1.2-09712.1	1	0.95
PdomMRNAr1.2-09713.1	1	0.93
PdomMRNAr1.2-09714.1	0	0
PdomMRNAr1.2-09715.1	1	1
PdomMRNAr1.2-09716.1	1	0.9
PdomMRNAr1.2-09717.1	1	0.8
PdomMRNAr1.2-09718.1	1	0.96
PdomMRNAr1.2-09719.1	1	0.95
PdomMRNAr1.2-09720.1	1	0.95
PdomMRNAr1.2-09721.1	1	1
PdomMRNAr1.2-09722.1	1	0.95
PdomMRNAr1.2-09723.1	1	0.9
PdomMRNAr1.2-09724.1	1	0.97
PdomMRNAr1.2-09725.1	1	0.9
PdomMRNAr1.2-09726.1	1	0.95
PdomMRNAr1.2-09727.1	1	0.85
PdomMRNAr1.2-09728.1	0.99	0.9
PdomMRNAr1.2-09730.1	0.99	0.7
PdomMRNAr1.2-09731.1	1	1
PdomMRNAr1.2-09732.1	0.44	0.13
PdomMRNAr1.2-09733.1	0.66	0.56
PdomMRNAr1.2-09734.1	1	0.96
PdomMRNAr1.2-09735.1	1	0.95
PdomMRNAr1.2-09736.1	1	0.8
PdomMRNAr1.2-09737.1	1	1
PdomMRNAr1.2-09738.1	1	0.95
PdomMRNAr1.2-09739.1	1	0.9
PdomMRNAr1.2-09740.1	1	0.95
PdomMRNAr1.2-09741.1	1	0.3
PdomMRNAr1.2-09742.1	0	NULL
PdomMRNAr1.2-09743.1	1	1
PdomMRNAr1.2-09744.1	1	0.95
PdomMRNAr1.2-09745.1	0.19	0.22
PdomMRNAr1.2-09746.1	1	0.98
PdomMRNAr1.2-09747.1	1	0.7
PdomMRNAr1.2-09748.1	0.73	0.63
PdomMRNAr1.2-09749.1	0.52	0.16
PdomMRNAr1.2-09750.1	0.33	0.1
PdomMRNAr1.2-09751.1	0.18	0.05
PdomMRNAr1.2-09752.1	0	NULL
PdomMRNAr1.2-09753.1	0	0
PdomMRNAr1.2-09754.1	1	0.96
PdomMRNAr1.2-09755.1	0.44	0.23
PdomMRNAr1.2-09756.1	1	0.35
PdomMRNAr1.2-09757.1	1	0.95
PdomMRNAr1.2-09758.1	0.06	0.02
PdomMRNAr1.2-09759.1	1	0.8
PdomMRNAr1.2-09760.1	1	0.9
PdomMRNAr1.2-09761.1	0.01	0
PdomMRNAr1.2-09762.1	1	0.8
PdomMRNAr1.2-09764.1	0.57	0.17
PdomMRNAr1.2-09766.1	1	0.91
PdomMRNAr1.2-09767.1	1	0.93
PdomMRNAr1.2-09768.1	1	0.98
PdomMRNAr1.2-09769.1	1	0.8
PdomMRNAr1.2-09770.1	1	0.95
PdomMRNAr1.2-09771.1	0.31	0.09
PdomMRNAr1.2-09772.1	0.02	0
PdomMRNAr1.2-09773.1	1	1
PdomMRNAr1.2-09774.1	1	0.75
PdomMRNAr1.2-09775.1	1	0.35
PdomMRNAr1.2-09777.1	0.87	0.87
PdomMRNAr1.2-09778.1	1	0.3
PdomMRNAr1.2-09779.1	0.04	0.01
PdomMRNAr1.2-09780.1	0.98	0.9
PdomMRNAr1.2-09781.1	1	0.3
PdomMRNAr1.2-09782.1	0.11	0.03
PdomMRNAr1.2-09783.1	0.98	0.94
PdomMRNAr1.2-09784.1	1	1
PdomMRNAr1.2-09785.1	1	0.96
PdomMRNAr1.2-09786.1	1	0.98
PdomMRNAr1.2-09787.1	0.76	0.23
PdomMRNAr1.2-09788.1	1	0.99
PdomMRNAr1.2-09789.1	0.24	0.16
PdomMRNAr1.2-09790.1	1	0.98
PdomMRNAr1.2-09791.1	1	0.3
PdomMRNAr1.2-09792.1	0.3	0.09
PdomMRNAr1.2-09793.1	0.76	0.79
PdomMRNAr1.2-09794.1	0.97	0.83
PdomMRNAr1.2-09795.1	1	1
PdomMRNAr1.2-09796.1	1	1
PdomMRNAr1.2-09797.1	1	0.83
PdomMRNAr1.2-09798.1	1	0.3
PdomMRNAr1.2-09799.1	0.48	0.14
PdomMRNAr1.2-09800.1	0.78	0.51
PdomMRNAr1.2-09801.1	0	NULL
PdomMRNAr1.2-09802.1	1	0.94
PdomMRNAr1.2-09803.1	1	1
PdomMRNAr1.2-09804.1	1	1
PdomMRNAr1.2-09805.1	0.17	0.05
PdomMRNAr1.2-09806.1	1	0.9
PdomMRNAr1.2-09807.1	0.59	0.18
PdomMRNAr1.2-09808.1	0.93	0.85
PdomMRNAr1.2-09809.1	1	0.98
PdomMRNAr1.2-09810.1	1	0.9
PdomMRNAr1.2-09811.1	1	0.6
PdomMRNAr1.2-09812.1	1	0.97
PdomMRNAr1.2-09813.1	1	1
PdomMRNAr1.2-09814.1	1	0.86
PdomMRNAr1.2-09815.1	1	1
PdomMRNAr1.2-09816.1	1	0.3
PdomMRNAr1.2-09817.1	1	0.81
PdomMRNAr1.2-09818.1	0.78	0.77
PdomMRNAr1.2-09819.1	0.99	0.94
PdomMRNAr1.2-09820.1	1	0.92
PdomMRNAr1.2-09821.1	0.98	0.91
PdomMRNAr1.2-09822.1	1	0.35
PdomMRNAr1.2-09824.1	1	0.95
PdomMRNAr1.2-09825.1	1	0.94
PdomMRNAr1.2-09826.1	1	1
PdomMRNAr1.2-09827.1	1	0.96
PdomMRNAr1.2-09829.1	1	0.78
PdomMRNAr1.2-09830.1	0.97	0.88
PdomMRNAr1.2-09831.1	0.45	0.27
PdomMRNAr1.2-09832.1	0.99	0.9
PdomMRNAr1.2-09833.1	1	1
PdomMRNAr1.2-09834.1	1	0.95
PdomMRNAr1.2-09835.1	1	0.98
PdomMRNAr1.2-09836.1	1	1
PdomMRNAr1.2-09837.1	1	0.75
PdomMRNAr1.2-09838.1	1	0.88
PdomMRNAr1.2-09839.1	0	0
PdomMRNAr1.2-09840.1	1	0.96
PdomMRNAr1.2-09841.1	0.95	0.91
PdomMRNAr1.2-09842.1	1	0.88
PdomMRNAr1.2-09843.1	1	0.5
PdomMRNAr1.2-09844.1	1	0.99
PdomMRNAr1.2-09845.1	1	0.97
PdomMRNAr1.2-09846.1	0.31	0.09
PdomMRNAr1.2-09847.1	0	0
PdomMRNAr1.2-09848.1	0.18	0.05
PdomMRNAr1.2-09849.1	0.79	0.24
PdomMRNAr1.2-09850.1	1	0.96
PdomMRNAr1.2-09851.1	1	1
PdomMRNAr1.2-09852.1	0.58	0.17
PdomMRNAr1.2-09853.1	1	0.3
PdomMRNAr1.2-09856.1	1	0.82
PdomMRNAr1.2-09857.1	0	NULL
PdomMRNAr1.2-09858.1	1	1
PdomMRNAr1.2-09859.1	0	NULL
PdomMRNAr1.2-09860.1	0	NULL
PdomMRNAr1.2-09861.1	1	0.95
PdomMRNAr1.2-09862.1	1	1
PdomMRNAr1.2-09863.1	1	0.9
PdomMRNAr1.2-09865.1	1	0.97
PdomMRNAr1.2-09866.1	1	0.75
PdomMRNAr1.2-09867.1	1	0.9
PdomMRNAr1.2-09868.1	1	0.9
PdomMRNAr1.2-09869.1	1	0.9
PdomMRNAr1.2-09870.1	1	0.63
PdomMRNAr1.2-09871.1	0.97	0.69
PdomMRNAr1.2-09872.1	0.99	0.54
PdomMRNAr1.2-09873.1	1	0.98
PdomMRNAr1.2-09874.1	1	0.35
PdomMRNAr1.2-09875.1	1	0.95
PdomMRNAr1.2-09876.1	1	0.9
PdomMRNAr1.2-09877.1	1	1
PdomMRNAr1.2-09878.1	1	0.3
PdomMRNAr1.2-09879.1	1	0.95
PdomMRNAr1.2-09880.1	1	0.5
PdomMRNAr1.2-09881.1	0.98	0.75
PdomMRNAr1.2-09882.1	1	0.92
PdomMRNAr1.2-09883.1	0.89	0.27
PdomMRNAr1.2-09884.1	1	0.99
PdomMRNAr1.2-09885.1	1	1
PdomMRNAr1.2-09886.1	0	NULL
PdomMRNAr1.2-09887.1	1	0.55
PdomMRNAr1.2-09888.1	1	0.97
PdomMRNAr1.2-09889.1	1	0.99
PdomMRNAr1.2-09891.1	1	0.66
PdomMRNAr1.2-09892.1	0.59	0.63
PdomMRNAr1.2-09893.1	1	1
PdomMRNAr1.2-09894.1	1	0.9
PdomMRNAr1.2-09895.1	1	0.77
PdomMRNAr1.2-09896.1	0	NULL
